600000|66337|AMOXICILINA /ACIDO CLAVULANICO SALA 500/50 mg POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG|500 mg/50 mg|100|100 viales|1|0|1
600008|66346|CITALOPRAM FARMALIDER 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA|10 mg|500|500 comprimidos|0|1|1
600010|66355|INSPRA 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA|50 mg|200|200 comprimidos|0|0|1
600011|66356|INSPRA 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA|25 mg|200|200 comprimidos|0|0|1
600017|66393|ONDANSETRON RATIOPHARM 4 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG|4 mg|500|500 comprimidos|1|0|1
600018|66394|ONDANSETRON RATIOPHARM 4 mg/2ml SOLUCION INYECTABLE|4 mg |50|50 ampollas de 2 ml|0|0|1
600019|66395|ONDANSETRON RATIOPHARM 8 mg/4ml SOLUCION INYECTABLE|8 mg|50|50 ampollas de 4 ml|0|0|1
600020|66396|ONDANSETRON RATIOPHARM 8 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG|8 mg|500|500 comprimidos|1|0|1
600022|13473|CALMANTE VITAMINADO PEREZ GIMENEZ|500 mg/50 mg/2 mg|200|200 comprimidos|0|0|1
600023|66401|CITALVIR 20 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG|20 mg|500|500 comprimidos|1|1|1
600024|66402|CITALVIR 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA|10 mg|500|500 comprimidos|0|1|1
600026|66423|AMOXICILINA/ACIDO CLAVULANICO SANDOZ 875 mg/125 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG|875 mg/125 mg|500|500 comprimidos|1|0|1
600027|66424|AMOXICILINA/ACIDO CLAVULANICO NORMON 500 mg/50 mg POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG|500 mg/50 mg|100|100 viales|1|0|1
600028|66425|AMOXICILINA/ACIDO CLAVULANICO NORMON 1.000 mg/200 mg POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG|1.000 mg/200 mg|100|100 viales|1|0|1
600029|66426|AMOXICILINA/ACIDO CLAVULANICO NORMON 2000 mg/200 mg POLVO PARA SOLUCION PARA PERFUSION EFG|2.000 mg/200 mg|50|50 viales|1|0|1
600030|66428|LANSOPRAZOL NORMON 15 mg CAPSULAS GASTRORRESISTENTES EFG|15 mg|500|500 cápsulas|1|0|1
600041|66481|CITALOPRAM VIR 20 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG|20 mg|500|500 comprimidos|1|1|1
600045|66482|CITALOPRAM VIR 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA|10 mg|500|500 comprimidos|1|1|1
600047|66486|LANSOPRAZOL NORMON 30 mg CAPSULAS GASTRORRESISTENTES EFG|30 mg|500|500 cápsulas|1|0|1
600058|66511|AMLODIPINO DAVUR 5 mg COMPRIMIDOS EFG|5 mg|500|500 comprimidos|1|0|1
600063|66522|AMOXICILINA/ACIDO CLAVULANICO SANDOZ 500/125 mg POLVO PARA SUSPENSION ORAL EN SOBRES EFG|500 mg/ 125 mg|500|500 sobres|1|0|1
600065|66523|AMOXICILINA/ACIDO CLAVULANICO SANDOZ 875 mg/125 mg POLVO PARA SUSPENSION ORAL EN SOBRES EFG|875 mg/125 mg|500|500 sobres|1|0|1
600071|04286001|WILZIN 25 mg CAPSULAS DURAS|25 mg|250|250 cápsulas|0|0|1
600073|04286002|WILZIN 50 mg CAPSULAS DURAS|50 mg|250|250 cápsulas|0|0|1
600076|66542|LIDOCAINA 2%  EPINEFRINA DERMOGEN SOLUCION INYECTABLE EFG|20 mg/ml + 12,5 microgramos/ml inyectable 1,8 ml |100|100 ampollas de 1,8 ml|1|1|1
600110|66556|AMOXICILINA/ACIDO CLAVULANICO TARBIS 875 mg/125 mg POLVO PARA SUSPENSION ORAL EN SOBRES EFG|875 mg/125 mg|500|500 sobres|1|0|1
600111|66560|QUINAPRIL NORMON 20 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG|20 mg|500|500 comprimidos|1|0|1
600118|66571|VYTORIN 10 mg/20 mg COMPRIMIDOS|20 mg/10 mg|100|100 comprimidos|0|0|1
600120|66581|SMOFLIPID 200 mg/ml EMULSION PARA PERFUSION|N/A (más de 3 PA)|10|10 frascos de 100 ml|0|0|1
600121|66581|SMOFLIPID 200 mg/ml EMULSION PARA PERFUSION|N/A (más de 3 PA)|10|10 frascos de 250 ml|0|0|1
600122|41000|PANTOMICINA  250 mg GRANULADO PARA SUSPENSION ORAL EN SOBRES|250 mg|500|500 sobres|0|0|1
600123|66581|SMOFLIPID 200 mg/ml EMULSION PARA PERFUSION|N/A (más de 3 PA)|10|10 frascos de 500 ml|0|0|1
600124|66570|VYTORIN 10 mg/40 mg COMPRIMIDOS|40 mg/10 mg|100|100 comprimidos|0|0|1
600136|66602|OMEPRAZOL VIR 40 mg CAPSULAS DURAS GASTRORRESISTENTES|40 mg|500|500 cápsulas|0|0|1
600137|66603|OMEPRAZOL APOTEX 40 MG CAPSULAS DURAS GASTRORRESISTENTES|40 mg|500|500 cápsulas|0|0|1
600139|65372|FENITOINA G.E.S 50mg/ ml SOLUCION INYECTABLE|100 mg|50|50 ampollas de 2 ml|0|1|1
600144|65136|AMOXICILINA/ACIDO CLAVULANICO SANDOZ 1000  mg/200 mg POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG|1.000 mg/200 mg|100|100 viales|1|0|1
600146|66554|AMOXICILINA/ACIDO  CLAVULANICO SALA 250/62,5 mg POLVO PARA SUSPENSION ORAL EN SOBRES EFG|250 mg/62,5 mg|500|500 sobres|1|0|1
600155|55404|LOFTON 150 mg COMPRIMIDOS RECUBIERTOS|150 mg|500|500 comprimidos|0|0|1
600200|66756|ELECOR 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA|25 mg|200|200 comprimidos|0|0|1
600201|66757|ELECOR 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA|50 mg|200|200 comprimidos|0|0|1
600210|63545|FOSFATO MONOSODICO 1M FRESENIUS KABI, SOLUCION INYECTABLE|1 M |100|100 ampollas de 10 ml|0|0|1
600211|64746|LIDOCAINA CLORHIDRATO 1% FRESENIUS KABI|10 mg/ml inyectable 10 ml|100|100 ampollas de 10 ml|0|1|1
600212|64747|LIDOCAINA CLORHIDRATO 5% FRESENIUS KABI|50 mg/ml inyectable 10 ml|100|100 ampollas de 10 ml|0|1|1
600214|64749|LIDOCAINA CLORHIDRATO 2% FRESENIUS KABI|20 mg/ml inyectable 10 ml|100|100 ampollas de 10 ml|0|1|1
600215|63546|FOSFATO DIPOTASICO 1M FRESENIUS KABI, SOLUCION INYECTABLE|1 M |100|100 ampollas de 10 ml|0|0|1
600216|63783|CLORURO POTASICO 1M FRESENIUS  KABI|1 mEq/ml|100|100 ampollas de 10 ml|0|0|1
600222|66795|CITALOPRAM NORMON 20 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG|20 mg|500|500 comprimidos|1|1|1
600223|63782|ACETATO SODICO 1M FRESENIUS  KABI CONCENTRADO PARA SOLUCION PARA PERFUSION|1 M |100|100 ampollas de 10 ml|0|0|1
600224|66809|CEFTRIAXONA GENERIS 250 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE IV EFG|250 mg|100|100 viales + 100 ampollas de disolvente|1|0|1
600225|66810|CEFTRIAXONA GENERIS 250 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE IM EFG|250 mg|100|100 viales + 100 ampollas de disolvente|1|0|1
600226|66811|CEFTRIAXONA GENERIS 500 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE IM EFG|500 mg|100|100 viales + 100 ampollas de disolvente|1|0|1
600227|66812|CEFTRIAXONA GENERIS 500 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE IV EFG|500 mg|100|100 viales + 100 ampollas de disolvente|1|0|1
600228|66813|CEFTRIAXONA GENERIS 1 g POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE IV EFG|1.000 mg|100|100 viales + 100 ampollas de disolvente|1|0|1
600229|66814|CEFTRIAXONA GENERIS 1 G, POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE IM EFG|1.000 mg|100|100 viales + 100 ampollas de disolvente|1|0|1
600230|66815|CEFTRIAXONA GENERIS 2 G, POLVO PARA SOLUCION PARA PERFUSION EFG|2.000 mg|100|100 viales|1|0|1
600243|62287|PROLEUKIN 18 X 10(6) UI  POLVO PARA SOLUCION INYECTABLE SC|18 millones UI|10|10 viales|0|1|1
600247|61869|ARICEPT 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA|5 mg|50|50 comprimidos|0|1|1
600251|66863|CEFTAZIDIMA ACCORD 1 g POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE EFG|1.000 mg|50|50 viales + 50 ampollas de disolvente|1|0|1
600252|66729|PARAPRES 32 mg COMPRIMIDOS|32 mg|300|300 comprimidos|0|0|1
600254|61870|ARICEPT 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA|10 mg|50|50 comprimidos|0|1|1
600255|66864|CEFTAZIDIMA ACCORD 500 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE EFG|500 mg|50|50 viales + 50 ampollas de disolvente|1|0|1
600256|66865|CEFTAZIDIMA ACCORD 2 g POLVO  PARA PERFUSION EFG|2.000 mg|50|50 viales|1|0|1
600257|66866|CEFTAZIDIMA ACCORD 1 g POLVO PARA PERFUSION EFG|1.000 mg|50|50 viales|1|0|1
600258|66870|OMEPRAZOL G.E.S 40 mg POLVO PARA SOLUCION PARA PERFUSION EFG|40 mg|50|50 viales|1|0|1
600259|66871|OMEPRAZOL SERRACLINICS 40 mg POLVO PARA SOLUCION PARA PERFUSION EFG|40 mg|50|50 viales|1|0|1
600280|66910|DIOVAN CARDIO 40 mg COMPRIMIDOS RECUBIERTOS CON PELICULA|40 mg|280|280 comprimidos|0|0|1
600291|67006|CEFTAZIDIMA NORMON 1 g POLVO PARA SOLUCION PARA PERFUSION EFG|1.000 mg|50|50 viales|1|0|1
600292|67007|CEFTAZIDIMA NORMON 1 g POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE EFG|1.000 mg|50|50 viales + 50 ampollas de disolvente|1|0|1
600293|67008|CEFTAZIDIMA NORMON 2 g POLVO PARA SOLUCION PARA PERFUSION EFG|2.000 mg|50|50 viales|1|0|1
600294|67009|CEFTAZIDIMA NORMON 500 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE EFG|500 mg|50|50 viales + 50 ampollas de disolvente|1|0|1
600295|67015|MIRTAZAPINA NORMON 30 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG|30 mg|500|500 comprimidos|1|1|1
600299|67021|CEFAZOLINA SALA 2 g POLVO PARA SOLUCION INYECTABLE IV EFG|2.000 mg|50|50 viales|1|0|1
600300|67022|CEFAZOLINA SALA 1 g POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE IV EFG|1.000 mg|100|100 viales + 100 ampollas de disolvente|1|0|1
600302|67024|CEFAZOLINA SALA 1 g POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE IM EFG|1.000 mg|100|100 viales + 100 ampollas de disolvente|1|0|1
